,Unnamed: 0,pitch_type,game_date,player_name,events,description,des,game_type,stand,p_throws,home_team,away_team,type,bb_type,inning_topbot,pitch_name
0,0,FF,2024-09-29,"Nelson, Ryne",field_out,hit_into_play,"David Peralta grounds out, first baseman Christian Walker to pitcher Ryne Nelson.",R,L,R,AZ,SD,X,ground_ball,Top,4-Seam Fastball
1,1,FC,2024-09-29,"Nelson, Ryne",field_out,hit_into_play,Jake Cronenworth lines out to third baseman Eugenio Suárez.,R,L,R,AZ,SD,X,line_drive,Top,Cutter
2,2,FF,2024-09-29,"Nelson, Ryne",,foul,Jake Cronenworth lines out to third baseman Eugenio Suárez.,R,L,R,AZ,SD,S,,Top,4-Seam Fastball
3,3,FF,2024-09-29,"Nelson, Ryne",,ball,Jake Cronenworth lines out to third baseman Eugenio Suárez.,R,L,R,AZ,SD,B,,Top,4-Seam Fastball
4,4,FF,2024-09-29,"Nelson, Ryne",field_out,hit_into_play,Fernando Tatis Jr.  flies out sharply to left fielder Jake McCarthy.,R,R,R,AZ,SD,X,fly_ball,Top,4-Seam Fastball
5,5,FF,2024-09-29,"Matsui, Yuki",field_out,hit_into_play,Jake McCarthy flies out to left fielder David Peralta.,R,L,L,AZ,SD,X,fly_ball,Bot,4-Seam Fastball
6,6,SL,2024-09-29,"Matsui, Yuki",,swinging_strike,Jake McCarthy flies out to left fielder David Peralta.,R,L,L,AZ,SD,S,,Bot,Slider
7,7,FF,2024-09-29,"Matsui, Yuki",,ball,Jake McCarthy flies out to left fielder David Peralta.,R,L,L,AZ,SD,B,,Bot,4-Seam Fastball
8,8,SI,2024-09-29,"Waldron, Matt",single,hit_into_play,Eugenio Suárez singles on a sharp line drive to left fielder David Peralta.,R,R,R,AZ,SD,X,line_drive,Bot,Sinker
9,9,SI,2024-09-29,"Waldron, Matt",,ball,Eugenio Suárez singles on a sharp line drive to left fielder David Peralta.,R,R,R,AZ,SD,B,,Bot,Sinker
10,10,KN,2024-09-29,"Waldron, Matt",,ball,Eugenio Suárez singles on a sharp line drive to left fielder David Peralta.,R,R,R,AZ,SD,B,,Bot,Knuckleball
11,11,FF,2024-09-29,"Waldron, Matt",,ball,Eugenio Suárez singles on a sharp line drive to left fielder David Peralta.,R,R,R,AZ,SD,B,,Bot,4-Seam Fastball
12,12,FC,2024-09-29,"Waldron, Matt",,foul,Eugenio Suárez singles on a sharp line drive to left fielder David Peralta.,R,R,R,AZ,SD,S,,Bot,Cutter
13,13,FF,2024-09-29,"Waldron, Matt",home_run,hit_into_play,Randal Grichuk homers (12) on a fly ball to right center field.    Alek Thomas scores.,R,R,R,AZ,SD,X,fly_ball,Bot,4-Seam Fastball
14,14,KN,2024-09-29,"Waldron, Matt",,ball,Randal Grichuk homers (12) on a fly ball to right center field.    Alek Thomas scores.,R,R,R,AZ,SD,B,,Bot,Knuckleball
15,15,KN,2024-09-29,"Waldron, Matt",,foul,Randal Grichuk homers (12) on a fly ball to right center field.    Alek Thomas scores.,R,R,R,AZ,SD,S,,Bot,Knuckleball
16,16,ST,2024-09-29,"Waldron, Matt",,foul,Randal Grichuk homers (12) on a fly ball to right center field.    Alek Thomas scores.,R,R,R,AZ,SD,S,,Bot,Sweeper
17,17,FF,2024-09-29,"Waldron, Matt",,foul,Randal Grichuk homers (12) on a fly ball to right center field.    Alek Thomas scores.,R,R,R,AZ,SD,S,,Bot,4-Seam Fastball
18,18,KN,2024-09-29,"Waldron, Matt",,ball,Randal Grichuk homers (12) on a fly ball to right center field.    Alek Thomas scores.,R,R,R,AZ,SD,B,,Bot,Knuckleball
19,19,KN,2024-09-29,"Waldron, Matt",,blocked_ball,Randal Grichuk homers (12) on a fly ball to right center field.    Alek Thomas scores.,R,R,R,AZ,SD,B,,Bot,Knuckleball
20,20,FC,2024-09-29,"Waldron, Matt",,foul,Randal Grichuk homers (12) on a fly ball to right center field.    Alek Thomas scores.,R,R,R,AZ,SD,S,,Bot,Cutter
21,21,ST,2024-09-29,"Waldron, Matt",,called_strike,Randal Grichuk homers (12) on a fly ball to right center field.    Alek Thomas scores.,R,R,R,AZ,SD,S,,Bot,Sweeper
22,22,FC,2024-09-29,"Waldron, Matt",field_out,hit_into_play,Christian Walker flies out to shortstop Nick Ahmed.,R,R,R,AZ,SD,X,fly_ball,Bot,Cutter
23,23,KN,2024-09-29,"Waldron, Matt",,blocked_ball,Christian Walker flies out to shortstop Nick Ahmed.,R,R,R,AZ,SD,B,,Bot,Knuckleball
24,24,ST,2024-09-29,"Waldron, Matt",,called_strike,Christian Walker flies out to shortstop Nick Ahmed.,R,R,R,AZ,SD,S,,Bot,Sweeper
25,25,SI,2024-09-29,"Waldron, Matt",single,hit_into_play,Lourdes Gurriel Jr.  singles on a sharp line drive to left fielder David Peralta.,R,R,R,AZ,SD,X,line_drive,Bot,Sinker
26,26,KN,2024-09-29,"Waldron, Matt",,ball,Lourdes Gurriel Jr.  singles on a sharp line drive to left fielder David Peralta.,R,R,R,AZ,SD,B,,Bot,Knuckleball
