code,name
adamj003,Jordyn Adams
adelj001,Jo Adell
andet002,Tyler Anderson
bachs001,Sam Bachman
barrj003,Jaime Barria
cabbt001,Trey Cabbage
cacek001,Kelvin Caceres
canng001,Griffin Canning
danid001,Davis Daniel
davit005,Tucker Davidson
detmr001,Reid Detmers
devec001,Chris Devenski
diazj007,Jhonathan Diaz
drurb001,Brandon Drury
escoe001,Eduardo Escobar
estec001,Carlos Estevez
fletd002,David Fletcher
fulmc001,Carson Fulmer
gioll001,Lucas Giolito
gricr001,Randal Grichuk
hergj001,Jimmy Herget
ingrk001,Kolton Ingram
joycb001,Ben Joyce
lambj001,Jake Lamb
leond003,Dominic Leone
loper003,Reynaldo Lopez
loupa001,Aaron Loup
martj010,Jose Marte
medev001,Victor Mederos
monim001,Mickey Moniak
moorm003,Matt Moore
moror001,Reyes Moronata
mousm001,Mike Moustakas
netoz001,Zach Neto
ohopl001,Logan O'Hoppe
ohtas001,Shohei Ohtani
okeyc001,Chris Okey
padlk001,Kevin Padlo
parik002,Kyren Paris
philb002,Brett Phillips
quijj001,Jose Quijada
renda001,Anthony Rendon
renfh001,Hunter Renfroe
rengl001,Luis Rengifo
reyeg002,Gerardo Reyes
rosek001,Kenny Rosenberg
sandp002,Patrick Sandoval
schan001,Nolan Schanuel
silsc001,Chase Silseth
sorij002,Jose Soriano
sotol001,Livan Soto
stefm001,Michael Stefanic
suraj001,Jose Suarez
teper001,Ryan Tepera
thaim001,Matt Thaiss
troum001,Mike Trout
urshg001,Gio Urshela
velaa001,Andrew Velazquez
wallc001,Chad Wellach
walsj001,Jared Walsh
wanta001,Andrew Wantz
wardt002,Taylor Ward
warra003,Austin Warren
webbj002,Jacob Webb
weisz001,Zack Weiss
adama002,Austin Adams
ahmen001,Nick Ahmed
bumgm001,Madison Bumgarner
canzd001,Dominic Canzone
carrc005,Corbin Carroll
castd004,Diego Castillo
